Year,Month,Country,Institute,Longitude,Latitude,Journal,Title,Species,Functional group,Category
2018,December,United States of America,Shaw institute,-68.5867,44.414,Marine Pollution Bulletin,"Microplastic fiber uptake, ingestion, and egestion rates in the blue mussel (Mytilus edulis)",,Invert,Organism
2019,December ,Finland,University of Jyvaskyla,25.732008,62.236457,Scientific Reports,Tracing the fate of microplastic carbon in the aquatic food web by compound-specific isotope analysis,none,Chemical,Chemical
2019,December ,Chile,Universidad Catolica del Norte,-70.41,-23.681,Scientific Reports,In search for the sources of plastic marine litter that contaminates the Easter Island Ecoregion,none,Water,Environment
2019,December ,Sweden,Lund University,13.204088,55.712074,Science of the Total Environment,Microplastics in a freshwater mussel (Anodonta anatina) in Northern Europe,Anodonta anatina,Invert,Organism
2019,December,Italy,University Urbino,12.636787,43.723177,Scientific Reports,Nanoparticle-Biological Interactions in a Marine Benthic Foraminifer,none,Chemical,Chemical
2019,December,Italy,University of Genoa,8.92675,44.414877,Estuarine Coastal and Shelf Science,Hydrodynamic forcing and sand permeability influence the distribution of anthropogenic microparticles in beach sediment,none,Sediment,Environment
2019,December,China,Jiangsu Ocean University,119.221844,34.6058,Science of the Total Environment,"The accumulation of microplastics in fish from an important fish farm and mariculture area, Haizhou Bay, China",Multiple,Multiple Animals,Organism
2019,December,France,University Littoral Cote dOpale,2.370862,51.037861,Science of the Total Environment,"Microplastics pollution along the Lebanese coast (Eastern Mediterranean Basin): Occurrence in surface water, sediments and biota samples",Multiple,Multiple Animals,Organism
2019,December,China,South China Agricultural University,113.353692,23.156803,Science of the Total Environment,"Microplastic pollution in water and fish samples around Nanxun Reef in Nansha Islands, South China Sea",Multiple,Multiple Animals,Organism
2019,December,China,Hebei Normal University,114.518525,37.997907,Journal of Hazardous Materials,"Impacts of polystyrene microplastics on the behavior and metabolism in a marine demersal teleost, black rockfish (Sebastes schlegelii)",Sebastes schlegelii,Small vert,Organism
2019,December,China,Education University of Hong Kong,114.193,22.4671,Critical Reviews in Environmental Science and Technology,"Direct and indirect effects of microplastics on bivalves, with a focus on edible species: A mini-review",Multiple,Review,Review
2019,December,France,Sorbonne University,2.3413,48.8508,Frontiers in Marine Science,"Expanding Tara Oceans Protocols for Underway, Ecosystemic Sampling of the Ocean-Atmosphere Interface During Tara Pacific Expedition (2016-2018)",none,Water,Environment
2019,December,Australia,Macquarie University,151.118,-33.7771,Science of the Total Environment,Interrelationship of microplastic pollution in sediments and oysters in a seaport environment of the eastern coast of Australia,,Sediment,Environment
2019,December,Netherlands,Radboud University Nijmegen,5.863982,51.821858,Antonie van Leeuwenhoek  International Journal of General and Molecular Microbiology,"Rhodopirellula heiligendammensis sp. nov., Rhodopirellula pilleata sp. nov., and Rhodopirellula solitaria sp. nov. isolated from natural or artificial marine surfaces in Northern Germany and California, USA, and emended description of the genus Rhodopirellula",Multiple,Bacteria,Organism
2019,December,United Kingdom,Newcastle University,-1.614674,54.97914,Journal of Geophysical Research-Oceans,Eulerian Modeling of the Three-Dimensional Distribution of Seven Popular Microplastic Types in the Global Ocean,none,Multiple Environments,Environment
